dataset,sample,has_gt,before_network_psnr,before_network_ssim,before_network_noise_est,before_network_sharpness,after_network_psnr,after_network_ssim,after_network_noise_est,after_network_sharpness,baseline_gaussian_psnr,baseline_gaussian_ssim,baseline_gaussian_noise_est,baseline_gaussian_sharpness,baseline_nlm_psnr,baseline_nlm_ssim,baseline_nlm_noise_est,baseline_nlm_sharpness,baseline_bm3d_psnr,baseline_bm3d_ssim,baseline_bm3d_noise_est,baseline_bm3d_sharpness
FMD,Confocal_BPAE_B_1,True,31.703228881207547,0.835633096380914,,,37.13766972760129,0.9494915888834684,,,36.75214528750661,0.9643473533950404,,,33.442226605285306,0.9591593516097726,,,37.3051499056617,0.9570683221558262,,
FMD,Confocal_BPAE_B_2,True,31.8010677045381,0.8419892039618687,,,35.36762476938702,0.9505191831018128,,,35.4201222772117,0.9622871078291885,,,33.507042434117,0.9582475271529218,,,35.78413945720783,0.9480279010489179,,
FMD,Confocal_BPAE_B_3,True,32.021034365875,0.8387045951716335,,,37.97742168705783,0.9522539444098561,,,37.387449815501924,0.9660389828742321,,,33.88718367466349,0.9610216599778776,,,38.180437651654195,0.957735244916905,,
FMD,Confocal_BPAE_B_4,True,32.13244586464657,0.8399657197935733,,,37.91651931436184,0.9518314230098835,,,37.4116960090648,0.9660381442006515,,,34.05837722487697,0.9618146748729989,,,38.28478648235529,0.9582441908189565,,
FMD,Confocal_BPAE_G_1,True,28.06300213814258,0.7083148426717935,,,30.598416877132728,0.8068962896639649,,,29.355340330935363,0.7789064976214496,,,29.599273605007014,0.7648847606143828,,,29.807750265785714,0.7426138946479585,,
FMD,Confocal_BPAE_G_2,True,28.67735685416243,0.7292630423656219,,,32.68085033383669,0.841033318044519,,,30.653426872932762,0.804129488184706,,,31.34483279986348,0.808494657116282,,,31.729934435995215,0.779478367557898,,
FMD,Confocal_BPAE_G_3,True,28.54652837057047,0.723591179324406,,,32.09811294913959,0.8322149173937659,,,30.313165795611763,0.7971339049681141,,,30.88345171370959,0.7960801559842311,,,31.173219563656538,0.7678550872511848,,
FMD,Confocal_BPAE_G_4,True,28.16998688754665,0.7170943232425874,,,32.822343263555666,0.8467145736341258,,,30.74488193322808,0.8091489023401363,,,31.06852496445564,0.8167721508266494,,,31.850149785148353,0.7905039801149677,,
FMD,Confocal_BPAE_R_1,True,32.96981314596434,0.861255056103517,,,36.168336573006854,0.899629670163913,,,34.79342680220433,0.909328051923693,,,34.84528758937841,0.9019667036706489,,,34.66672823156591,0.8781932787083127,,
FMD,Confocal_BPAE_R_2,True,33.22228000627622,0.8648502215292664,,,36.26612555346034,0.8996286829521304,,,34.828306319920664,0.9087928183166197,,,34.90069253727714,0.8996787608444277,,,34.59446642933207,0.8741735068535242,,
FMD,Confocal_BPAE_R_3,True,33.23876341149381,0.8632200754155618,,,34.547540547180155,0.8752068872568132,,,33.66842655240291,0.8881739210045275,,,32.49878804864774,0.8484124568359789,,,32.5521334939406,0.8210962204648913,,
FMD,Confocal_BPAE_R_4,True,32.381022274866964,0.8514717952819475,,,35.68550626378139,0.8949128543101129,,,34.545501778844006,0.906622843340845,,,34.43740948059653,0.9006036619425442,,,34.483868051993845,0.8794383183373439,,
FMD,Confocal_FISH_1,True,22.818247076862527,0.4538890956824996,,,32.01304179337087,0.8821666578645305,,,31.406922541107868,0.8751226064098282,,,23.72077175121065,0.7146341981026009,,,30.643322565518865,0.8843573060839853,,
FMD,Confocal_FISH_2,True,22.795659199345913,0.45095526562607063,,,32.062696383663756,0.8810506627091694,,,31.43517627217824,0.8748809107013488,,,23.710323143800146,0.7143768430542169,,,30.617125148996482,0.8856333686109179,,
FMD,Confocal_FISH_3,True,22.76604804648003,0.4508342533147551,,,32.178647168697296,0.8829735406086291,,,31.49720914986496,0.8759626404634862,,,23.667066573733976,0.7149626123441282,,,30.630768678654423,0.8858200407349296,,
FMD,Confocal_FISH_4,True,22.827562519053814,0.45223804964448433,,,31.979082595307826,0.8809698416922483,,,31.358625384609713,0.8731553863909188,,,23.730701949554337,0.7132671999104034,,,30.581960920438497,0.8827145078767346,,
FMD,Confocal_MICE_1,True,29.306349132063087,0.6728491832226638,,,36.831752146736854,0.9552802403125141,,,35.23417519579894,0.9495828534523829,,,32.313786651642715,0.9370149434188569,,,37.21504014870956,0.9587134758304446,,
FMD,Confocal_MICE_2,True,29.27453463822347,0.6709780361988014,,,36.62134711836454,0.9538181122707721,,,35.104414609081395,0.9490566105413636,,,32.250119522122915,0.9361385512462989,,,37.00227977842375,0.95803188109361,,
FMD,Confocal_MICE_3,True,29.318810155915976,0.6738493796663084,,,36.85544613518381,0.9555704411109102,,,35.26082242493131,0.9496693305120159,,,32.29713622017885,0.9365743156260271,,,37.1923329873503,0.9584612043673344,,
