epoch,train_mse,train_rmse,test_mse,test_rmse,generalization_mse,generalization_rmse
29,0.02106294642365168,0.14513079074976365,0.021444882940914897,0.1464407147651052,0.0439792036458298,0.2097121924110036
30,0.021048039540884987,0.14507942493987555,0.021195990995814405,0.14558843015780618,0.04379123553081795,0.2092635551901428
31,0.021028245720598433,0.1450111917080831,0.021355937427530686,0.14613670800839426,0.04406780635317167,0.20992333446563693
32,0.021009293316848695,0.14494582890462454,0.021309239729824993,0.14597684655391413,0.04400843613677555,0.20978187752228633
33,0.02099373772030785,0.14489215893314533,0.02143737198991908,0.14641506749620778,0.044178092269985765,0.21018585173599522
34,0.02097701093980244,0.14483442594839957,0.021381036943445602,0.14622255962554342,0.0441514433754815,0.21012244852818915
35,0.0209570758352204,0.14476558926492303,0.02144456848502159,0.14643964109837743,0.044029705507887734,0.20983256541320686
36,0.020946526707164823,0.14472914947295457,0.021510667515297732,0.14666515440041555,0.043978896256950166,0.20971145952701337
37,0.020933977183368473,0.1446857877725676,0.021368612847808336,0.14618006994049612,0.044228605622494664,0.21030598094798603
38,0.020914786777326038,0.1446194550443544,0.021396261443280513,0.14627460970134398,0.04402663349001496,0.2098252451208266
39,0.020900368122827438,0.14456959612182443,0.021503734779026774,0.1466415179239044,0.04411617229934092,0.21003850194509796
40,0.020888526039937187,0.14452863397935092,0.02139858188521531,0.14628254128642731,0.04408510671721565,0.20996453680851832
41,0.02087541150904837,0.14448325684676536,0.021613035110963717,0.1470137242265623,0.04414367131612919,0.2101039535947127
42,0.02086103797431976,0.14443350710385647,0.021545662033475108,0.1467844066427872,0.04432209564027963,0.21052813503254056
43,0.020850974354479048,0.14439866465614926,0.02140482172783878,0.1463038677815415,0.043933099177148605,0.2096022403915297
44,0.020838059340677565,0.14435393773873148,0.021473406333890225,0.14653807127804783,0.04431667563539964,0.21051526223863115
45,0.02082793388338316,0.14431886184204462,0.021496849757515722,0.14661804035491582,0.04417079104317559,0.21016848251623169
46,0.020818800422407333,0.1442872150344837,0.0214757506777015,0.14654607015441082,0.04406261047279393,0.20991095843903418
47,0.02080123313835689,0.1442263260932514,0.021510697404543557,0.14666525629658703,0.044130761452295164,0.21007322878533372
48,0.020795328025780026,0.14420585295257618,0.021592154504938257,0.14694269122667605,0.044345927939370824,0.21058472864709546
49,0.0207852742146878,0.14417098950443463,0.021503904538436067,0.14664209674727127,0.04409233869777785,0.20998175801192315
50,0.020770291454262204,0.14411901836420551,0.021609861240204836,0.14700292935926426,0.04409681930034249,0.20999242676902063
51,0.020766423115181544,0.14410559709873016,0.021617019940167667,0.14702727617747555,0.044115864590362264,0.21003776943769487
52,0.02075667800884398,0.14407178075127683,0.02173312473214335,0.1474215884195505,0.04447417398293813,0.21088900868214572
53,0.020748740124797063,0.1440442297518268,0.021522680939071708,0.14670610395982747,0.04403611279748104,0.2098478324822085
54,0.020737119804299067,0.14400388815687953,0.021738414441545804,0.14743952808370558,0.04422540927926699,0.21029838154219588
55,0.02072689735227161,0.14396839011488463,0.021632589037633605,0.14708021293713713,0.044182480341858336,0.2101962900287689
56,0.02072173480003599,0.14395045953395214,0.021576500595029857,0.14688941621175386,0.0442003824810187,0.21023887005265868
57,0.0207094092525187,0.1439076413972472,0.021688691752238407,0.14727081093087796,0.044457297623157505,0.21084899246417446
58,0.020702425593894624,0.14388337497395112,0.021807296098106436,0.14767293624123018,0.04407026311865559,0.2099291859619705
59,0.02069315404409454,0.14385115239056842,0.02162971546459529,0.14707044388521878,0.044408918922698055,0.21073423766132085
60,0.02068076052599483,0.14380806836194843,0.02159745267074969,0.14696071812137315,0.04419157142992373,0.21021791415082522
61,0.02067944100451848,0.14380348050210218,0.021737835922588905,0.14743756618511072,0.04450857144814951,0.21097054639960885
62,0.02067337847181729,0.143782399728956,0.021558641255315807,0.14682861184154744,0.04429022519124879,0.21045242975848197
63,0.020663502102806455,0.14374805077915476,0.021824149739825063,0.14772998930422038,0.04453764355844921,0.21103943602665642
64,0.020655723805465397,0.14372099291845084,0.021759529653936623,0.14751111705202635,0.04429294693249243,0.21045889606403534
65,0.02065190344102799,0.14370770139776085,0.021603593095723125,0.1469816080185651,0.044221616972375796,0.21028936485798752
66,0.02064532258917415,0.14368480291657204,0.021647381654216185,0.14713049192542035,0.044412583316917775,0.21074293183145615
67,0.02064076841350586,0.1436689542437957,0.021832533561521105,0.14775836206970183,0.04459125445396812,0.21116641412395135
68,0.02063075968197414,0.14363411740242685,0.02174380987054772,0.1474578240397834,0.04409927936615767,0.20999828419812785
69,0.020625904781950845,0.14361721617532783,0.02150540733502971,0.14664722068634548,0.0440590077969763,0.20990237682545737
70,0.020618102585985548,0.14359005044217216,0.021624634905407825,0.14705317033443321,0.04444729585338522,0.21082527327952222
71,0.02061287178643166,0.1435718349344037,0.021910939707110326,0.14802344309976825,0.04433864439527194,0.2105674343180159
72,0.020609122242719408,0.14355877626505253,0.021560806619624298,0.14683598543825793,0.044200421549655776,0.21023896296751413
73,0.020600658640975045,0.1435292954102926,0.021766641953339178,0.14753522275490413,0.04419119760394096,0.21021702500972883
74,0.02059392865215029,0.14350584884300113,0.021708454189615117,0.14733789122155616,0.04426560634264239,0.2103939313351086
75,0.020592680793432964,0.1435015010145642,0.021678029605083995,0.14723460736214158,0.04411692441613586,0.2100402923634793
76,0.02058282605712376,0.14346716020443062,0.02166157406444351,0.1471787147125681,0.04417983967396948,0.21019000850175892
77,0.020581355267573917,0.14346203423754286,0.02178381535328097,0.14759341229635206,0.0446038233074877,0.2111961725682729
78,0.020580806987626214,0.1434601233361599,0.0217964830622077,0.1476363202677705,0.044654669485710285,0.21131651493839823
79,0.02057334990491943,0.14343413089261367,0.021899680727057988,0.14798540714225167,0.0445424297120836,0.21105077519896392
80,0.020563981407691563,0.14340146933588777,0.02163677898959981,0.14709445601245416,0.04426282423513907,0.21038731956831208
81,0.020561298742180777,0.14339211534174665,0.021927998372250134,0.14808105338715732,0.04470378295690925,0.2114326913154852
82,0.020557211039085237,0.14337786104934486,0.0218603072874248,0.14785231580000632,0.04433834731578827,0.21056672889083944
83,0.02054780115447347,0.1433450423086668,0.021806775184555188,0.14767117248994532,0.04492313260833422,0.21195077873962676
84,0.020543933115781298,0.1433315496175957,0.021867744955751632,0.1478774660174823,0.044552856943121666,0.21107547688711178
85,0.020537666756482352,0.14330968828548318,0.02193705626246002,0.14811163446015987,0.04442674163866926,0.21077652060575738
86,0.020534775148308468,0.14329959926080907,0.021866523495150936,0.14787333598438543,0.04445793650768421,0.2108505074873765
87,0.02053311879436175,0.1432938198051882,0.021690220505827,0.14727600111975814,0.04442840863157202,0.21078047497710034
88,0.020524827331777604,0.1432648852014254,0.021853023194190527,0.1478276807441371,0.04473354001288061,0.21150304965385394
89,0.02052395242547232,0.14326183171198223,0.0218053374832703,0.147666304495204,0.04442544905123887,0.21077345433246303
90,0.020516923722766693,0.14323729864377746,0.021814508042815657,0.14769735286326446,0.04485294222831726,0.21178513221734255
91,0.020511088054331522,0.14321692656362767,0.021803649651507537,0.14766058936462206,0.044436497467535516,0.21079966192462338
92,0.020514730714143267,0.14322964328009502,0.021768253437346882,0.1475406840073167,0.04438050303746153,0.21066680573232588
93,0.020502817434450937,0.14318804920261655,0.021866740896883938,0.1478740710769942,0.044501843126835645,0.21095459968162733
94,0.02050190032238052,0.14318484669259007,0.021859007676442464,0.1478479207714551,0.04476811225215594,0.21158476375239296
95,0.020491066279392393,0.14314700932744767,0.021987021526114807,0.14828021286103824,0.0444803670766177,0.21090369147223975
96,0.020494176064218793,0.14315787112212444,0.021793314586910938,0.14762558920089341,0.04434958694157777,0.2105934161876334
97,0.020489595137418264,0.14314187066479978,0.021928600219802724,0.1480830855290459,0.04441458617647489,0.2107476836799752
98,0.020488643542168634,0.14313854666779538,0.021804358330037858,0.14766298903258682,0.04409365583349157,0.2099848942983556
99,0.02048497600924401,0.14312573496490424,0.021902750821577176,0.14799577974245473,0.0443878406782945,0.2106842202878386
100,0.020477586738646976,0.1430999187234115,0.021564010930144123,0.1468468962223721,0.04436730495205632,0.2106354788540058
