epoch,train_mse,train_rmse,test_mse,test_rmse,generalization_mse,generalization_rmse
1,0.024459439927623384,0.1563951403580795,0.021539153632604415,0.14676223503546276,0.04446771985954708,0.21087370594634858
2,0.022246975974431114,0.14915420200058432,0.02229430947245823,0.14931279071954362,0.04376707129456379,0.20920581085276715
3,0.0220295717626337,0.1484236226570208,0.021262575096140306,0.145816923215861,0.043597479545407825,0.20880009469683633
4,0.021903614848852157,0.1479986988079698,0.02158534146224459,0.14691950674517182,0.04509506763683425,0.21235599270290031
5,0.0218132764976176,0.1476931836531991,0.021138236789653698,0.14538994734731042,0.043753721327693375,0.20917390211901046
6,0.021736319862187856,0.1474324247314269,0.020999365448951722,0.14491157803623464,0.043902945584721034,0.20953029753408225
7,0.021680429265612648,0.14724275624156405,0.02112537362923225,0.1453457038554365,0.04377059361448994,0.20921422899623712
8,0.021631365773223696,0.14707605438419843,0.021079008063922326,0.14518611525873376,0.04397490809913035,0.20970195063263086
9,0.02158937230233162,0.14693322395677438,0.021222769998841817,0.14568036929813782,0.04391648896866374,0.20956261348022873
10,0.02155173351603841,0.14680508681935517,0.020970040748102797,0.14481036132854166,0.04394384043636145,0.20962786178454773
11,0.021516783895000578,0.14668600442782734,0.0210631238296628,0.14513140194204285,0.044149184304255025,0.21011707285286227
12,0.021480349619237202,0.14656176042623534,0.021161198363535933,0.1454688913944694,0.04397746820692663,0.20970805470207057
13,0.02145150617711128,0.14646332707238108,0.021042640939768816,0.14506081807217555,0.044213940263898285,0.2102711113393808
14,0.02142578372406581,0.1463754888089731,0.021226702229016358,0.14569386476106796,0.04425088518747577,0.21035894368311456
15,0.021393120019208817,0.1462638712027301,0.02100935595937901,0.1449460449939184,0.04388650216438152,0.20949105509396224
16,0.021371627684150424,0.1461903816403474,0.020973205587102306,0.14482128844580242,0.04381425932601646,0.20931855943995137
17,0.021347454436241635,0.14610768096250668,0.02105552677065134,0.1451052265449158,0.04393920795233161,0.2096168121891267
18,0.021317655510372586,0.14600566944599305,0.02107514009086622,0.14517279390735105,0.04380894536221469,0.20930586557049635
19,0.021291499445362697,0.14591606986676517,0.021051413747999403,0.14509105330101993,0.044010097732146584,0.20978583777783139
20,0.021268812647414585,0.1458383099443167,0.021079541806959444,0.14518795338098628,0.043887846320867535,0.2094942632170808
21,0.02125531338510059,0.14579202099257899,0.021055069011118678,0.14510364919986912,0.04390281470285522,0.20952998521179544
22,0.02121997521746726,0.1456707768135643,0.021267173586206303,0.14583269038938526,0.044077425450086596,0.2099462441914277
23,0.02120006703904697,0.14560242799846082,0.02113028904216157,0.1453626122569403,0.04383120688575286,0.20935903822322277
24,0.021173729430588466,0.1455119563148969,0.021142376973811123,0.14540418485659592,0.04423942495275427,0.21033170220571665
25,0.021151692557429512,0.14543621473838458,0.02115670655336645,0.14545345150035613,0.0440140531791581,0.20979526491119407
26,0.021128468946332024,0.1453563515857908,0.021175281424075366,0.1455172890899063,0.04396210252686783,0.20967141561707411
27,0.0211066790279888,0.14528137880674452,0.021340806502848864,0.1460849290750037,0.043960239351899535,0.20966697248708374
28,0.02108701200948821,0.14521367707446917,0.02135770451898376,0.14614275390515863,0.0440526584121916,0.2098872516666784
